ppb,tpp,consec,runtime,wattage
147,1,1,6.2432772,226.3
11,14,0,0.0945478,205.1
3,29,0,0.0741478,201.0
102,2,1,1.6351968,226.5
62,2,0,2.6612506,230.6
45,4,1,0.571893,211.0
46,5,0,0.5970162,222.1
21,10,0,0.1367176,210.6
112,1,1,6.2551462,232.2
7,11,1,0.0975142,197.3
6,12,1,0.086901,205.3
13,14,1,0.0907598,205.1
8,9,0,0.1422402,212.5
181,1,0,6.2658702,231.8
7,18,0,0.1176786,209.6
74,2,0,2.6571554,230.6
15,12,1,0.1145982,205.3
47,2,1,1.6577296,227.5
22,3,1,0.8077712,223.0
3,31,0,0.0641806,203.9
3,25,0,0.1135454,203.7
11,11,1,0.130178,207.6
102,1,0,6.2591198,226.3
161,1,1,6.2337098,232.2
15,17,0,0.0769338,199.7
99,1,0,6.2741182,228.7
216,1,1,6.2042996,225.8
4,21,0,0.1369874,209.8
10,24,1,0.0507348,198.7
32,7,0,0.270285,206.9
83,2,0,2.6577634,230.4
69,2,0,2.6677452,231.0
223,1,1,6.23467,232.2
70,2,1,1.631452,229.5
17,15,0,0.0758192,204.1
100,2,1,1.6098604,228.3
198,1,1,6.1994352,227.5
34,6,0,0.4138848,213.9
36,6,1,0.2768238,214.5
133,1,0,6.230479,232.0
76,2,1,1.6314614,228.1
150,1,0,6.1907936,232.4
58,4,0,0.8096616,224.4
120,1,1,6.237555,232.8
27,3,1,0.9071436,225.8
20,7,0,0.2757398,210.6
238,1,0,6.2240144,232.4
17,8,1,0.1900034,211.9
77,2,0,2.6638052,231.4
6,22,0,0.1223382,206.5
19,12,1,0.1045334,204.5
10,25,0,0.0779584,205.3
6,20,1,0.0555292,202.2
16,5,1,0.3300358,214.5
4,24,0,0.1022842,204.1
115,1,0,6.2913424,231.8
59,4,1,0.5433042,219.1
2,32,0,0.0468248,198.9
39,4,1,0.559191,217.6
22,5,0,0.6285482,222.3
25,9,0,0.1759236,210.4
14,6,0,0.3542644,217.4
77,3,1,0.8794814,224.8
47,5,1,0.3821364,218.0
59,2,0,2.673482,231.4
6,15,1,0.0735708,204.1
160,1,0,6.1675436,233.0
31,7,1,0.2222252,213.3
7,23,1,0.0550906,202.2
4,25,1,0.0550282,199.7
17,14,1,0.0825986,203.2
4,28,1,0.049336,205.3
12,14,0,0.0901484,206.9
95,1,1,6.2764264,231.4
16,15,0,0.075493,205.7
21,6,1,0.330273,213.7
235,1,1,6.2210778,227.5
29,4,1,0.5873926,215.6
74,3,0,1.3373724,228.7
19,8,0,0.2415644,212.1
14,9,0,0.196171,206.9
178,1,0,6.2623796,223.8
220,1,1,6.2221184,222.8
9,21,1,0.0545244,200.2
17,11,0,0.1498786,211.3
192,1,1,6.234074,231.8
18,12,1,0.0971884,205.1
104,1,1,6.2312212,232.4
111,2,0,2.649233,231.0
23,6,0,0.4160234,218.9
20,10,0,0.1221034,210.6
53,3,1,0.9125982,224.4
16,10,0,0.1388354,212.1
15,11,0,0.1457956,215.8
79,2,0,2.6692742,231.2
103,1,1,6.2650252,231.8
41,6,0,0.4480268,219.3
10,14,1,0.0739266,205.7
85,2,1,1.664349,228.1
34,3,0,1.3711824,230.6
8,30,1,0.0466106,204.7
5,21,0,0.1148954,207.6
39,3,1,0.9309186,224.6
40,3,1,0.9126376,224.4
19,13,1,0.0936054,205.1
11,15,1,0.079751,204.7
4,22,0,0.123277,208.0
8,19,0,0.131547,209.6
58,4,1,0.5384476,210.8
57,3,1,0.9130938,221.1
46,5,1,0.3812114,218.9
15,15,1,0.0751078,202.6
13,12,0,0.12211,208.8
19,6,1,0.3066312,215.6
3,27,1,0.0559502,200.0
67,3,0,1.340702,224.6
8,13,0,0.1083944,205.1
72,1,1,6.1870724,233.0
62,3,1,0.9110762,223.8
8,24,0,0.0813914,204.9
98,2,0,2.65075,223.6
152,1,0,6.1979674,232.6
21,5,1,0.4223432,217.0
5,31,1,0.0499684,189.3
5,30,1,0.0492672,205.5
127,2,1,1.6538842,224.4
8,15,0,0.0777782,203.9
93,1,0,6.2701978,233.0
4,23,0,0.1123532,207.1
195,1,1,6.2236328,231.4
39,5,0,0.5735138,221.3
7,32,0,0.0530106,201.0
11,17,0,0.0829868,201.6
6,24,1,0.0538526,198.9
16,7,0,0.2681004,214.3
52,4,1,0.5173486,220.3
185,1,1,6.244438,232.2
13,10,0,0.1124034,212.1
3,22,0,0.1554758,209.8
16,5,0,0.406436,217.4
71,3,1,0.8766486,223.8
8,27,0,0.0734732,204.3
23,10,1,0.1363858,209.6
12,15,0,0.0763672,202.6
128,2,0,2.6180218,229.7
208,1,1,6.2035652,232.4
114,2,1,1.6453246,227.5
34,7,0,0.3396198,218.9
8,12,1,0.0864528,204.7
151,1,0,6.218785,231.2
28,9,1,0.1600886,209.2
60,4,1,0.52595,217.4
22,6,1,0.27208,214.1
32,4,0,0.8242988,223.8
75,3,0,1.3385228,228.3
4,22,1,0.0615262,200.2
6,23,0,0.1115264,202.6
128,1,0,6.2718996,231.2
8,31,0,0.0503758,201.8
35,4,0,0.8318244,223.2
6,30,0,0.05736,200.6
11,10,0,0.1476238,212.5
10,19,0,0.1113694,206.7
12,15,1,0.0722994,203.0
30,7,0,0.3026608,216.0
40,3,0,1.3583352,227.9
73,3,0,1.33891,227.9
